Method,Model,Stereotype Score,95% CI
PEAT,bert-base,57.294429708222815,"57.34 [54.91, 59.68]"
PEAT,bert-base,58.48806366047745,"58.49 [56.03, 60.81]"
PEAT,bert-base,57.824933687002655,"57.78 [55.37, 60.28]"
PEAT,bert-base,58.09018567639257,"58.10 [55.64, 60.48]"
PEAT,bert-base,58.48806366047745,"58.45 [56.10, 60.88]"
PEAT,bert-base,,
PEAT,modernbert-base,57.824933687002655,"57.81 [55.30, 60.28]"
PEAT,modernbert-base,57.758620689655174,"57.76 [55.24, 60.34]"
PEAT,modernbert-base,58.42175066312998,"58.35 [55.90, 60.74]"
PEAT,modernbert-base,58.42175066312998,"58.40 [55.97, 60.88]"
PEAT,modernbert-base,58.48806366047745,"58.50 [56.10, 60.94]"
PEAT,modernbert-base,,
PEAT,nomicbert,56.49867374005305,"56.49 [53.91, 59.02]"
PEAT,nomicbert,56.83023872679045,"56.85 [54.24, 59.29]"
PEAT,nomicbert,56.896551724137936,"56.86 [54.44, 59.35]"
PEAT,nomicbert,57.36074270557029,"57.39 [54.84, 59.82]"
PEAT,nomicbert,57.228116710875334,"57.21 [54.77, 59.82]"
PEAT,nomicbert,,
PEAT,qwen2.5-1.5b,53.11671087533156,"53.11 [50.73, 55.37]"
PEAT,qwen2.5-1.5b,53.713527851458885,"53.68 [51.33, 56.03]"
PEAT,qwen2.5-1.5b,53.183023872679044,"53.20 [50.86, 55.57]"
PEAT,qwen2.5-1.5b,53.315649867374006,"53.31 [50.93, 55.70]"
PEAT,qwen2.5-1.5b,53.77984084880637,"53.73 [51.39, 56.10]"
PEAT,qwen2.5-1.5b,,
PEAT,gemma-3-4b,55.702917771883286,"55.72 [53.31, 58.22]"
PEAT,gemma-3-4b,56.10079575596817,"56.04 [53.65, 58.69]"
PEAT,gemma-3-4b,55.702917771883286,"55.67 [53.25, 58.22]"
PEAT,gemma-3-4b,,
PEAT,llama-3.1-8b,55.83554376657824,"55.82 [53.31, 58.16]"
PEAT,llama-3.1-8b,55.63660477453581,"55.65 [52.98, 58.09]"
PEAT,llama-3.1-8b,55.769230769230774,"55.77 [53.12, 58.22]"
PEAT,llama-3.1-8b,,
Base,base_bert-base,57.89124668435013,"57.94 [55.44, 60.15]"
Base,base_bert-base,57.89124668435013,"57.89 [55.44, 60.15]"
Base,base_bert-base,57.89124668435013,"57.86 [55.44, 60.15]"
CDA,cda_bert-base,58.22281167108754,"58.25 [55.77, 60.68]"
CDA,cda_bert-base,58.22281167108754,"58.20 [55.84, 60.55]"
